lambda,phi,x,y,z,r_mean,r_std,id
-123.71159631815235,46.23,-2447.608070438206,-3668.4248143049654,4603.531157200669,0.3005238915934111,0.06964812373237235,1
-103.95129547619324,-41.79,-1145.9704767271578,-4612.937945282263,-4248.3149811948715,0.28829086024046935,0.0018074771624744467,2
-108.47803748265426,-43.68,-1461.242055153066,-4372.761790419648,-4402.766287290071,0.7705684193942918,8.270765904113686e-5,3
-120.68318948119075,31.04,-2787.2828624275107,-4697.458342682706,3287.1818269725436,0.7951924218491763,0.16256344190206248,4
-112.81550322907034,2.64,-2469.378310829921,-5869.972253145647,293.63498651043284,0.007226919588747549,0.027347064653380382,5
-107.04150102359887,-2.26,-1866.8317515233205,-6090.350212847254,-251.39311123374083,0.6475258396534906,0.2656125210603785,6
-106.45173334284883,-12.07,-1765.5346641261128,-5978.835872662687,-1333.0543715583774,0.2618417194513222,0.1499161901747412,7
-101.04027484594212,-6.01,-1214.095890359662,-6222.625863097098,-667.4754953755745,0.4132033037012034,0.15709033248050105,8
-95.86064340370032,-57.73,-347.5466293739844,-3385.8839693301807,-5390.327085311585,0.4309993085971796,0.08186727793369981,9
-101.7763230394063,-44.03,-935.4477696834225,-4486.998088439333,-4430.847619196138,0.7025791997091527,0.28566895389603747,10
-102.56615608775155,2.19,-1385.9749216249663,-6217.7449661704895,243.61045192724237,0.331583171000812,0.1131248260757079,11
-112.59996377317479,-7.94,-2426.3926263827743,-5829.044288195982,-880.6171182103534,0.4991635627554347,0.2653714236163153,12
-117.58039455377516,42.31,-2182.7327930252764,-4178.664694104714,4291.27765688668,0.2876020208066322,0.2715616114380728,13
-113.83469759084483,8.25,-2549.4736974648135,-5770.962918753155,914.7654651937681,0.06632668497816696,0.09234340574152605,14
-107.45987320611175,-27.79,-1692.1299210993936,-5379.885391653964,-2972.230560166629,0.2643681857362422,0.16045392514972281,15
-111.73932272803924,0.62,-2361.0619528101756,-5921.254329054226,68.9827924107387,0.1467221382417958,0.22980194643165008,16
-122.85283509554299,41.7,-2582.1210728424794,-3998.5650027300267,4240.843510921551,0.311972749320502,0.25168970893383785,17
-102.55442510346748,-34.91,-1136.3575184818067,-5102.833930458305,-3648.3424275077737,0.5822064551476385,0.18795618508673523,18
-124.24157899092799,25.87,-3227.629870055002,-4741.907361344115,2781.608347406087,0.659801342478497,0.21536735711212918,19
-121.11097417261766,42.37,-2433.594246202245,-4032.46880800096,4296.212210465243,0.6009801338029753,0.06883636398817745,20
-99.59481414356395,-4.85,-1058.7772135136977,-6263.31428529367,-538.989773354194,0.12148093958518624,0.21073238936246008,21
-121.1419215630301,7.1,-3271.6122741986796,-5414.452704461792,787.959414220641,0.2593968799558767,0.07397523454293545,22
-105.33591352733245,-28.89,-1476.2144723420474,-5382.872586376074,-3079.9510630022755,0.09713724419582148,0.22941795263892972,23
-108.0109536902794,-39.41,-1522.9495310644593,-4684.109484296785,-4047.266740029799,0.03661490659129263,0.05262260607215078,24
-125.20611198868285,31.17,-3144.726721575639,-4456.9248657420385,3299.5665757396737,0.30646541037133546,0.10639082240948991,25
-99.5850409491352,-26.91,-946.5678183658702,-5605.344680961925,-2885.263484128602,0.05372820687191615,0.009900819875276311,26
