lambda,phi,x,y,z,r_mean,r_std,id
-117.14681367392318,30.38,-2509.3370608892396,-4893.810562581008,3224.045702594539,0.8021121144249008,0.14975531169700387,1
-105.53856670256111,-10.5,-1679.1823870908956,-6039.147706522018,-1161.75147501244,0.17917943545354487,0.2613599379676796,2
-112.92002835458175,44.86,-1759.8309891869058,-4162.044062058958,4496.777636816969,0.7021134327584386,0.08304472729485098,3
-91.13141202891237,-54.89,-72.39853287659253,-3665.853892834407,-5215.064591050445,0.8267178688546275,0.11031125422466266,4
-106.79838242368203,15.36,-1776.5957222405445,-5884.969379032564,1688.629043800227,0.25398039357908053,0.05792759529547121,5
-106.56627815414934,1.34,-1817.1702674104254,-6108.706248215009,149.08115997148357,0.5476583830340479,0.1892325310701682,6
-115.87650890102279,24.31,-2535.560980034834,-5227.23496009796,2624.418066630102,0.15139926525121716,0.2991217540979225,7
-125.38414081290537,40.8,-2794.431338586557,-3934.4527936245436,4165.556350436922,0.9357054952019406,0.2842884750922793,8
-108.3669554261101,0.72,-2008.614943194907,-6049.766411814586,80.10850425637287,0.18117785940447406,0.15974055971697207,9
-118.31275555583736,46.35,-2087.017330429716,-3873.9454517713893,4612.757342326365,0.7732180313254046,0.2468530085521298,10
-102.52704835173789,-28.6,-1214.0226842711443,-5463.894356485681,-3051.6605943713685,0.4716540417562932,0.13712286367123583,11
-120.0966435671545,15.18,-3085.26469373502,-5323.079561248785,1669.308465864714,0.08194335842017697,0.03552960325929416,12
-117.45585131485116,-3.88,-2932.5523992553085,-5643.994599753919,-431.3773099857386,0.3621964961496543,0.26189962613625917,13
-117.99887541676368,40.6,-2272.3249462968015,-4273.8240300464795,4148.6856350698,0.6937778870304576,0.2993625734086282,14
-110.38649787366539,-0.19,-2220.726440969215,-5975.663324159956,-21.140261819251354,0.7040581997132868,0.27506052852040547,15
-120.81511104422086,38.14,-2568.499941471665,-4306.11619893677,3937.105069961227,0.3095681457359414,0.06205219885830643,16
-104.11157426343755,-2.77,-1552.4786048767762,-6175.396333214819,-308.0832827610679,0.996511585181469,0.028037642390294847,17
-117.748773036155,12.64,-2896.2358261631807,-5505.124944860049,1395.0062296378867,0.18810594254395796,0.06431352736223231,18
-98.29235627457176,-24.6,-835.9782321256793,-5735.779263746968,-2653.7900506600577,0.2441645277498149,0.217028571993744,19
-122.58650811483452,40.7,-2602.9776672326548,-4072.2751223927703,4157.1273244187505,0.8054516104991258,0.08858826510162497,20
-100.62488265591219,-34.0,-974.4599378828472,-5194.503188201267,-3564.854759626011,8.125720611684706e-5,0.26230595871428425,21
-116.52226413513222,-11.67,-2787.8826657330947,-5586.190505949566,-1289.500241699808,0.27486093460833916,0.1538307972426163,22
-110.37615057407285,-10.06,-2185.532993054076,-5884.2168485994325,-1113.580987144918,0.5101578733667343,0.07528584357865843,23
-114.87386753933977,14.03,-2601.4746817402297,-5611.09731585077,1545.4906639371357,0.6227992731273418,0.1677769161935182,24
-113.03452275658573,-35.59,-2028.4895914837582,-4770.827644847435,-3710.129183788825,0.832227536432156,0.1558587772106165,25
-112.07949913467486,11.68,-2346.696860229985,-5785.154849636005,1290.5898697571401,0.8531043402363102,0.27658068044980405,26
-101.38881240773324,-44.98,-890.448706760954,-4420.588179620642,-4506.23193442437,0.7425130603188801,0.12366489073028358,27
-100.17321152554466,-46.94,-768.7795344403993,-4284.188995813101,-4657.824350013592,0.8617188064983493,0.22813428670007904,28
-120.16685620061533,34.18,-2650.2342796547077,-4559.623332481863,3581.440817440668,0.8951346575912965,0.14632330913923802,29
-101.2009607763346,-59.94,-620.2971452150438,-3132.453819020194,-5517.570980362996,0.6459433836559298,0.08890963360511674,30
