lambda,phi,x,y,z,r_mean,r_std,id
-97.10230744801264,-24.26,-718.6072605550014,-5767.430042507153,-2619.3471151917947,0.9364678776918886,0.15490484384696163,1
-105.77526618232994,-16.19,-1664.4062165996713,-5891.593280859977,-1777.499805645542,0.009285297631197897,0.08464778665218022,2
-104.51865884200068,-23.43,-1466.4067392436996,-5662.566137603561,-2534.8808674898582,0.8697325658468534,0.08990441079865111,3
-102.76784769009645,-30.07,-1219.26686284715,-5380.597269926779,-3194.242685836404,0.1151472394120594,0.06630854706791502,4
-108.06455662484616,21.52,-1839.008911887338,-5638.263550412919,2338.5156313533707,0.7453830770831854,0.22916690578642962,5
-114.15978500797439,30.17,-2255.733183663201,-5028.6708181628255,3203.8668209958896,0.23474281305703215,0.24567398227996234,6
-108.70198771681358,27.12,-1819.374239339026,-5374.495676702452,2906.079592567313,0.8782996188376896,0.16676426725300497,7
-112.69157899092798,25.87,-2212.832558732997,-5292.131146206786,2781.608347406087,0.6469664813103932,0.07917270833231635,8
-120.2662387825711,58.96,-1656.8013913591287,-2839.1149172178652,5462.147987414974,0.9522839706570881,0.06374056817718424,9
-106.82721451720438,-58.43,-966.1804116946225,-3194.659095890907,-5431.507495447199,0.6795297519698738,0.1606327591360158,10
-127.16699008055879,41.44,-2887.193840065141,-3808.291407728943,4219.200550306636,0.6514920084408679,0.17119348814341723,11
-110.55385651198237,-10.47,-2200.9185834370946,-5869.798237119076,-1158.4692678681804,0.7499712127942794,0.29002755962537446,12
-108.28957710200399,39.81,-1536.8051193735898,-4649.706565788497,4081.554100723212,0.41000186907452185,0.24378688014538685,13
-112.62327216564942,-39.17,-1901.1867265913688,-4562.08397954398,-4026.5995323872176,0.7283800314587522,0.257760481548776,14
-104.86037249906038,-6.69,-1623.8278248264996,-6119.824192411971,-742.6708889463794,0.2425324513516125,0.18823058769445664,15
-105.07928650121404,-7.32,-1644.9743716535884,-6105.3209463667245,-812.2440879800838,0.9959223776451401,0.20962857925648,16
-105.98928177372359,-35.96,-1421.3878664810024,-4960.470608326459,-3743.5294678885475,0.7292843957085955,0.15789582700645285,17
-118.83872972327457,25.23,-2781.6167433941796,-5051.6504545775215,2717.362871910169,0.09973163645211269,0.2709654867183428,18
-116.97136399890238,56.04,-1615.1486543638857,-3173.828158274757,5287.601975002354,0.055360801470166976,0.2064282919689087,19
-118.97928414264925,41.85,-2300.713435443188,-4154.1383801353395,4253.290139016823,0.9155388803740891,0.1742540665904978,20
