lambda,phi,x,y,z,r_mean,r_std,id
-119.19814931824381,41.56,-2327.0373164771513,-4164.058841197129,4229.200432087705,0.8099502426020463,0.2912474143498883,1
-99.89848716285549,-5.85,-1090.1749958298876,-6247.395016919445,-649.768405693444,0.05555495398199073,0.06544661112790774,2
-100.0714112427241,-38.5,-872.4759227908738,-4912.2473457290425,-3968.5308085648244,0.35906825389193586,0.2833313907078065,3
-109.76209324217528,-10.48,-2119.5286132975475,-5899.4606739218025,-1159.5633722496962,0.6625322895981187,0.030529467701993693,4
-113.20423452472143,-4.91,-2502.59530452085,-5837.800711006339,-545.6414577028414,0.24679938427862902,0.05905390439885528,5
-112.03506773134043,50.73,-1513.9094463546692,-3740.464463888108,4935.3448494130935,0.03783920667194651,0.2830347153295282,6
-95.17681760486445,-51.57,-357.5288121009388,-3946.2696696466332,-4993.971750315049,0.7757291558279386,0.11592161532844109,7
-111.14553236984034,31.11,-1968.9546907551075,-5090.616581583211,3293.85264471007,0.17211256956801302,0.21915788464081223,8
-100.13240588731914,-41.33,-842.1644005929052,-4712.444674827725,-4210.017732630328,0.4257257923812654,0.12317235068124593,9
-106.27960230147181,23.25,-1641.9458939891608,-5622.446644487977,2516.4920844497037,0.7740618592552929,0.13420407994122258,10
-113.11122775003327,-29.03,-2187.923786033253,-5126.731435871463,-3093.580335300385,0.7105691210670174,0.025050384017779845,11
-115.20661364019624,3.1,-2711.0358432256803,-5759.518679268201,344.7524327779425,0.879920173561441,0.15986612014738347,12
-100.77360056564112,-16.88,-1140.327334094671,-5992.805503674894,-1851.0971790374601,0.30608714254731473,0.23548487851753422,13
-111.63458733799268,17.21,-2245.137891098893,-5660.58513572058,1886.2016782972166,0.2918230369725172,0.19246229204113516,14
-126.99904000985364,43.55,-2780.582586295845,-3690.086358534297,4392.294178142832,0.17654457704548798,0.27791433573306346,15
-122.70410537226842,16.47,-3303.0862074148376,-5144.274707567988,1807.3970895910365,0.9545118627595697,0.18105605979058217,16
-111.52808473683686,-11.24,-2294.4820644394595,-5816.519461619165,-1242.6095157253308,0.41438477164325416,0.14006518241605265,17
-105.64371239086978,-58.62,-895.1282455029238,-3196.5715979529364,-5442.545401121011,0.46248664170414466,0.28559691182202157,18
-95.34158843554798,-43.83,-428.1278225478481,-4578.9392067307745,-4414.82132238941,0.6017354496622918,0.23409518080940805,19
-98.2193912403875,-28.53,-800.7216248444394,-5543.33296083885,-3044.8201202672167,0.058958525643281856,0.040083077748687024,20
-115.06653882798105,36.39,-2174.2168622594954,-4648.521169813729,3782.1497814946547,0.9524727159988371,0.09588300059722789,21
-96.41148369637453,-22.62,-657.1232279459755,-5847.804653759164,-2451.936947551167,0.16129185049446138,0.12719325663038886,22
-122.49085761989855,55.47,-1941.094247568139,-3047.980790722492,5251.913101094169,0.6928729404242477,0.2451379956003285,23
-111.03518979773823,49.88,-1474.5271560202593,-3834.23421838452,4874.940268836948,0.6475292926561744,0.2623202388976334,24
-106.45017246533344,-33.97,-1497.1744745147325,-5070.565043184676,-3562.086991595673,0.1712317337678282,0.04118370812021651,25
-122.20417231224015,20.1,-3190.553075867954,-5065.694183247189,2190.8305529833024,0.14316757268337865,0.012873880137095972,26
-111.29081823795941,-13.89,-2247.0870129859964,-5766.2103108174615,-1530.3736823050992,0.20249886504299275,0.21380477211830204,27
-107.82832965582072,-29.33,-1701.611879894861,-5290.911000005578,-3122.7236189295804,0.8059804483109553,0.050659072964347504,28
-116.58954717504574,27.73,-2525.708762520046,-5046.022982621301,2966.3230278894257,0.9457848302711055,0.1005206103466444,29
-113.43754134481956,-3.36,-2531.2919325247003,-5838.971041793076,-373.63528398324013,0.007146743136364875,0.15748509680211226,30
-99.97754370338433,-52.53,-671.9463332892184,-3819.5504095479187,-5059.658861435373,0.1235315467231981,0.1531848223556123,31
-116.39057804646599,32.84,-2380.765918148492,-4798.00278218281,3457.130015655844,0.21618117866971598,0.294997362055637,32
-112.76583635655247,53.57,-1464.9487980745953,-3490.800561057158,5129.216456920378,0.27030093922230947,0.18154553284469171,33
-99.05963458699485,-13.84,-974.6792421705239,-6112.698595815968,-1524.972541258169,0.640552685575424,0.17492597423049785,34
-96.90494486839349,-59.01,-394.62006901924946,-3258.6065054292108,-5465.014514518847,0.6157209068695277,0.196043965679426,35
-125.8146708190005,57.59,-1999.4135073305524,-2770.7595432290373,5381.994256807541,0.710822674172578,0.18415214622960116,36
-123.163316275079,58.83,-1804.9532308753846,-2762.1157510305293,5454.675555178471,0.49271736862038984,0.170211574796077,37
