lambda,phi,x,y,z,r_mean,r_std,id
-102.55054969188426,-12.02,-1354.92048128028,-6086.235090665431,-1327.613614934691,0.19073338642241688,0.1833439362722392,1
-111.10600960807417,3.21,-2292.0016780876267,-5938.006701233819,356.9730014241599,0.11406581096691326,0.09934997673791748,2
-99.69073869825378,-9.24,-1059.1798941928125,-6202.4940939022135,-1023.6356611831445,0.0008332116431523096,0.14705539005226423,3
-124.75709954722268,48.87,-2390.584049106645,-3445.1010973123875,4801.771686935339,0.9659320350518337,0.18846489271049202,4
-101.57293589341427,-24.54,-1163.398787351826,-5681.259918093415,-2647.718641520187,0.10202861257855689,0.1902098186138054,5
-118.58853441703809,26.59,-2727.8920465159713,-5005.691075866222,2853.469263116071,0.27934905204957206,0.20931944449121012,6
-94.18637816583235,-48.51,-308.3105612724526,-4212.100883240077,-4775.329909777546,0.2178587529547953,0.022512691447941467,7
-116.55489683838351,51.92,-1757.75451454756,-3517.0671860695606,5018.083546062223,0.493938664512258,0.2143395773103406,8
-110.67400299165973,-11.49,-2205.5909719044607,-5844.946330850955,-1269.8802518842028,0.5221437417080758,0.2922592102714887,9
-116.43042762548644,-11.17,-2783.8282266738565,-5600.5156786926755,-1234.969447837237,0.4432178647611199,0.00599902806505751,10
-101.10436524955097,-59.07,-631.0796215646587,-3215.3430067447916,-5468.448853214518,0.3196819481105072,0.016150568466931546,11
-118.03284060922168,53.95,-1763.1820988356924,-3311.482879875754,5154.21138707321,0.6703871832721919,0.21317844236729996,12
-95.06036777156994,-35.33,-458.75114691723803,-5180.675920518595,-3686.5660704456286,0.4593921077576072,0.19168858290412938,13
-114.3223665157409,16.29,-2520.2624224498745,-5575.957883827304,1788.1823172627608,0.48746398032100235,0.024808952382315428,14
-104.05845723589722,-17.93,-1473.3538102986186,-5883.719464503869,-1962.5745368512373,0.016258629341050823,0.06816529790069632,15
-95.10570719373857,-52.03,-349.05133227672763,-3906.6485066581063,-5025.622907945028,0.6953604704081647,0.2275499025009341,16
-126.60210899702311,42.66,-2795.2989482581797,-3763.583799252754,4319.996038871902,0.34416139166559345,0.07744925546449648,17
-99.24755394455346,-11.64,-1003.3967296136221,-6162.7452895487895,-1286.2311219780443,0.214069950787374,0.2913456060818162,18
-116.77741297855479,1.63,-2870.938734468459,-5689.06430377422,181.33706309135712,0.45679075519752343,0.11111225098269759,19
-95.5183792685681,-46.06,-425.39979580289685,-4403.140650011998,-4590.426170841087,0.2985254823220953,0.2739629625903151,20
-115.79622854140196,18.07,-2637.391102451616,-5456.62213466778,1977.3892009826232,0.7957262241317572,0.09023366951477915,21
-115.10607733423417,-9.55,-2667.3971885664178,-5692.711298669909,-1057.6650265674498,0.8462431203785036,0.25878951893676966,22
-106.44096865893896,30.12,-1560.676087663817,-5288.757513862434,3199.0559715262884,0.7585718615650128,0.059060730712747665,23
-105.32912820799102,-14.41,-1632.2960572837094,-5954.773668314246,-1586.4756980576033,0.049808453816770126,0.023736991523773742,24
-110.15953063400964,-9.02,-2169.880180192951,-5910.440729505347,-999.4675515543777,0.6599024731478413,0.13578544484031455,25
-106.16817057640945,-20.03,-1667.7933471612703,-5752.508467513081,-2183.5147543249873,0.8425615605080042,0.014764948593179072,26
-111.71076862521204,2.84,-2355.352369277602,-5915.50260829572,315.86248239530113,0.5384165778248433,0.2206830632197894,27
-103.47441171754532,-10.24,-1461.7850727135683,-6100.774655945857,-1133.2951948016444,0.7578855129140288,0.24334532504138712,28
-118.88332257494595,54.69,-1779.8358936390314,-3226.3864462915744,5202.234105737666,0.4098839718699834,0.051734802600043414,29
-116.88673964789622,47.28,-1955.8435570494155,-3857.3905986418204,4683.571153495802,0.13736387388815885,0.2587316660186122,30
-116.10571586253118,21.64,-2607.471919818941,-5321.168691899853,2350.9315046807587,0.609080199927906,0.10547099549036165,31
-114.77190817710793,31.77,-2270.9439941141068,-4921.108299949702,3356.505843248783,0.11713352461436999,0.23447103329526547,32
